image_index,turns,task_type,instructions,format_instructions,bg_consistency,unchanged_objects,available_objects,all_objects
0,1,['subject_add'],['Add bench on the left of painted white leaf pattern'],['Add [bench] on the [left] of [painted white leaf pattern]'],True,['painted white leaf pattern'],"['painted white leaf pattern', 'bench']","['painted white leaf pattern', 'bench']"
0,2,"['subject_add', 'count_change']","['Add bench on the left of painted white leaf pattern', '""Change the count of painted white leaf pattern to 4""']","['Add [bench] on the [left] of [painted white leaf pattern]', '""Change the count of [painted white leaf pattern] to [4]""']",True,[],"['painted white leaf pattern', 'bench']","['painted white leaf pattern', 'bench']"
0,3,"['subject_add', 'count_change', 'background_change']","['Add bench on the left of painted white leaf pattern', '""Change the count of painted white leaf pattern to 4""', 'Change the background to park, remain the painted white leaf pattern, bench unchanged']","['Add [bench] on the [left] of [painted white leaf pattern]', '""Change the count of [painted white leaf pattern] to [4]""', 'Change the background to [park]']",False,[],['painted white leaf pattern'],"['painted white leaf pattern', 'bench']"
1,1,['background_change'],"['Change the background to forest, remain the brown fur bear unchanged']",['Change the background to [forest]'],False,['brown fur bear'],['brown fur bear'],"['brown fur bear', 'yellow leaves']"
1,2,"['background_change', 'subject_add']","['Change the background to forest, remain the brown fur bear unchanged', 'Add fish on the below of brown fur bear']","['Change the background to [forest]', 'Add [fish] on the [below] of [brown fur bear]']",False,['brown fur bear'],"['brown fur bear', 'fish']","['brown fur bear', 'yellow leaves', 'fish']"
1,3,"['background_change', 'subject_add', 'material_alter']","['Change the background to forest, remain the brown fur bear unchanged', 'Add fish on the below of brown fur bear', 'Change the material of fish to glass']","['Change the background to [forest]', 'Add [fish] on the [below] of [brown fur bear]', 'Change the material of [fish] to [glass]']",False,['brown fur bear'],"['brown fur bear', 'glass fish']","['brown fur bear', 'yellow leaves', 'fish', 'glass fish']"
2,1,['subject_remove'],['Remove black and white zebra'],['Remove [black and white zebra]'],True,[],[],['black and white zebra']
2,2,"['subject_remove', 'subject_add']","['Remove black and white zebra', 'Add waterhole']","['Remove [black and white zebra]', 'Add [waterhole]']",True,[],['waterhole'],"['black and white zebra', 'waterhole']"
2,3,"['subject_remove', 'subject_add', 'subject_add']","['Remove black and white zebra', 'Add waterhole', 'Add tree on the above of waterhole']","['Remove [black and white zebra]', 'Add [waterhole]', 'Add [tree] on the [above] of [waterhole]']",True,[],"['waterhole', 'tree']","['black and white zebra', 'waterhole', 'tree']"
3,1,['count_change'],['Change the count of synthetic yellow ball to 3'],['Change the count of [synthetic yellow ball] to [3]'],True,"['fabric black and red shirt', 'fabric black pants', 'leather white glove', 'fabric red socks', 'synthetic white shoes']","['fabric black and red shirt', 'fabric black pants', 'leather white glove', 'synthetic yellow ball', 'fabric red socks', 'synthetic white shoes']","['fabric black and red shirt', 'fabric black pants', 'leather white glove', 'synthetic yellow ball', 'fabric red socks', 'synthetic white shoes']"
3,2,"['count_change', 'text_change']","['Change the count of synthetic yellow ball to 3', ""Replace the text 'Houston' on fabric black and red shirt with 'SOFTBALL'""]","['Change the count of [synthetic yellow ball] to [3]', ""Replace the text '[Houston]' on [fabric black and red shirt] with '[SOFTBALL]'""]",True,"['fabric black pants', 'leather white glove', 'fabric red socks', 'synthetic white shoes']","['fabric black and red shirt', 'fabric black pants', 'leather white glove', 'synthetic yellow ball', 'fabric red socks', 'synthetic white shoes']","['fabric black and red shirt', 'fabric black pants', 'leather white glove', 'synthetic yellow ball', 'fabric red socks', 'synthetic white shoes']"
3,3,"['count_change', 'text_change', 'subject_replace']","['Change the count of synthetic yellow ball to 3', ""Replace the text 'Houston' on fabric black and red shirt with 'SOFTBALL'"", 'Replace leather white glove with baseball glove']","['Change the count of [synthetic yellow ball] to [3]', ""Replace the text '[Houston]' on [fabric black and red shirt] with '[SOFTBALL]'"", 'Replace [leather white glove] with [baseball glove]']",True,"['fabric black pants', 'fabric red socks', 'synthetic white shoes']","['fabric black and red shirt', 'fabric black pants', 'synthetic yellow ball', 'fabric red socks', 'synthetic white shoes', 'baseball glove']","['fabric black and red shirt', 'fabric black pants', 'leather white glove', 'synthetic yellow ball', 'fabric red socks', 'synthetic white shoes', 'baseball glove']"
4,1,['subject_add'],['Add napkin on the above of metal silver fork'],['Add [napkin] on the [above] of [metal silver fork]'],True,"['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'fabric white napkin', 'black and white dog']","['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'fabric white napkin', 'black and white dog', 'napkin']","['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'fabric white napkin', 'black and white dog', 'napkin']"
4,2,"['subject_add', 'material_alter']","['Add napkin on the above of metal silver fork', 'Change the material of fabric white napkin to paper']","['Add [napkin] on the [above] of [metal silver fork]', 'Change the material of [fabric white napkin] to [paper]']",True,"['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'black and white dog']","['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'black and white dog', 'napkin', 'paper white napkin']","['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'fabric white napkin', 'black and white dog', 'napkin', 'paper white napkin']"
4,3,"['subject_add', 'material_alter', 'position_change']","['Add napkin on the above of metal silver fork', 'Change the material of fabric white napkin to paper', 'Change the position of ceramic green bowl to left of ceramic white mug.']","['Add [napkin] on the [above] of [metal silver fork]', 'Change the material of [fabric white napkin] to [paper]', 'Change the position of [ceramic green bowl] to [left] of [ceramic white mug].']",True,"['cotton blue shirt', 'ceramic white bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'black and white dog']","['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'black and white dog', 'napkin', 'paper white napkin']","['cotton blue shirt', 'ceramic white bowl', 'ceramic green bowl', 'metal silver fork', 'metal silver knife', 'wooden brown table', 'ceramic white mug', 'fabric white napkin', 'black and white dog', 'napkin', 'paper white napkin']"
5,1,['material_alter'],['Change the material of metal red postbox to ceramic'],['Change the material of [metal red postbox] to [ceramic]'],True,[],['ceramic red postbox'],"['metal red postbox', 'ceramic red postbox']"
5,2,"['material_alter', 'subject_add']","['Change the material of metal red postbox to ceramic', 'Add bird on the above of ceramic red postbox']","['Change the material of [metal red postbox] to [ceramic]', 'Add [bird] on the [above] of [ceramic red postbox]']",True,[],"['ceramic red postbox', 'bird']","['metal red postbox', 'ceramic red postbox', 'bird']"
5,3,"['material_alter', 'subject_add', 'subject_replace']","['Change the material of metal red postbox to ceramic', 'Add bird on the above of ceramic red postbox', 'Replace bird with cat']","['Change the material of [metal red postbox] to [ceramic]', 'Add [bird] on the [above] of [ceramic red postbox]', 'Replace [bird] with [cat]']",True,[],"['ceramic red postbox', 'cat']","['metal red postbox', 'ceramic red postbox', 'bird', 'cat']"
6,1,['count_change'],['Change the count of fur brown bear to 3'],['Change the count of [fur brown bear] to [3]'],True,['concrete gray wall'],"['fur brown bear', 'concrete gray wall']","['fur brown bear', 'concrete gray wall']"
6,2,"['count_change', 'subject_add']","['Change the count of fur brown bear to 3', 'Add stone on the below of concrete gray wall']","['Change the count of [fur brown bear] to [3]', 'Add [stone] on the [below] of [concrete gray wall]']",True,['concrete gray wall'],"['fur brown bear', 'concrete gray wall', 'stone']","['fur brown bear', 'concrete gray wall', 'stone']"
6,3,"['count_change', 'subject_add', 'color_alter']","['Change the count of fur brown bear to 3', 'Add stone on the below of concrete gray wall', 'Change the color of concrete gray wall to orange']","['Change the count of [fur brown bear] to [3]', 'Add [stone] on the [below] of [concrete gray wall]', 'Change the color of [concrete gray wall] to [orange]']",True,[],"['fur brown bear', 'stone', 'concrete orange wall']","['fur brown bear', 'concrete gray wall', 'stone', 'concrete orange wall']"
